,Price,Area,rooms,type,Date,City,District,price_per_m2
612,365000.0,170.0,4,new,"June 25, 2023",Tashkent,Mirabad district,2147.06
613,125000.0,130.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,961.54
614,90000.0,82.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1097.56
615,81000.0,100.0,4,new,"June 25, 2023",Tashkent,Almazar district,810.0
616,78000.0,92.0,4,new,"June 25, 2023",Tashkent,Sergeli district,847.83
617,78000.0,90.0,4,new,"June 25, 2023",Tashkent,Sergeli district,866.67
618,86000.0,90.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,955.56
619,87000.0,87.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1000.0
620,82500.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,896.74
621,110000.0,96.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1145.83
622,99000.0,95.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1042.11
623,69000.0,95.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,726.32
624,165000.0,118.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1398.31
625,83000.0,106.0,4,new,"June 25, 2023",Tashkent,Sergeli district,783.02
626,81000.0,80.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1012.5
627,120000.0,94.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1276.6
628,85500.0,85.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1005.88
629,98500.0,87.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1132.18
630,85000.0,96.8,4,new,"June 25, 2023",Tashkent,Sergeli district,878.1
631,165000.0,120.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1375.0
632,84000.0,100.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,840.0
633,118000.0,94.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1255.32
634,85000.0,100.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,850.0
635,77000.0,90.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,855.56
636,86999.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,945.64
637,95000.0,90.0,4,new,"June 25, 2023",Tashkent,Yakkasarai district,1055.56
638,92500.0,92.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1005.43
639,121000.0,96.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1260.42
640,107000.0,92.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1163.04
641,70500.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,766.3
642,86000.0,48.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1791.67
643,90000.0,90.0,4,new,"June 25, 2023",Tashkent,Almazar district,1000.0
644,75000.0,98.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,765.31
645,95000.0,80.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1187.5
646,75000.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,815.22
647,135000.0,80.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1687.5
648,85500.0,96.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,890.62
649,115000.0,115.0,4,new,"June 25, 2023",Tashkent,Yakkasarai district,1000.0
650,300000.0,160.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1875.0
651,92000.0,101.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,910.89
652,73000.0,95.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,768.42
653,110000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1100.0
654,118000.0,100.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1180.0
655,68000.0,81.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,839.51
656,170000.0,90.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1888.89
657,115000.0,93.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1236.56
658,75000.0,81.0,4,new,"June 25, 2023",Tashkent,Sergeli district,925.93
659,85000.0,120.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,708.33
660,110000.0,86.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,1279.07
661,84500.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,918.48
662,78800.0,86.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,916.28
663,95000.0,76.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1250.0
664,80000.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,869.57
665,80000.0,72.0,4,new,"June 25, 2023",Tashkent,Yakkasarai district,1111.11
666,65000.0,83.0,4,new,"June 25, 2023",Tashkent,Almazar district,783.13
667,94500.0,84.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1125.0
668,85000.0,98.0,4,new,"June 25, 2023",Tashkent,Sergeli district,867.35
669,113000.0,92.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1228.26
670,124000.0,118.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1050.85
671,82500.0,98.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,841.84
672,87000.0,95.0,4,new,"June 25, 2023",Tashkent,Almazar district,915.79
673,63000.0,82.0,4,new,"June 25, 2023",Tashkent,Almazar district,768.29
674,186000.0,95.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1957.89
675,96000.0,105.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,914.29
676,95000.0,92.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1032.61
677,91000.0,90.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1011.11
678,205000.0,165.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1242.42
679,117000.0,90.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1300.0
680,77000.0,96.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,802.08
681,83000.0,91.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,912.09
682,160000.0,130.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1230.77
683,200000.0,176.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1136.36
684,112000.0,90.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1244.44
685,77000.0,96.0,4,new,"June 25, 2023",Tashkent,Sergeli district,802.08
