,Price,Area,rooms,type,Date,City,District,price_per_m2
832,106000.0,96.0,4,new,"June 24, 2023",Tashkent,Almazar district,1104.17
833,80000.0,98.0,4,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,816.33
834,95000.0,118.0,4,new,"June 24, 2023",Tashkent,Yashnabad district,805.08
835,76500.0,72.0,4,new,"June 24, 2023",Tashkent,Chilanzar district,1062.5
836,72000.0,65.0,4,new,"June 24, 2023",Tashkent,Chilanzar district,1107.69
837,83500.0,78.0,4,new,"June 24, 2023",Tashkent,Chilanzar district,1070.51
838,125000.0,110.0,4,new,"June 24, 2023",Tashkent,Yakkasarai district,1136.36
839,110000.0,93.0,4,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1182.8
840,260000.0,105.0,4,new,"June 24, 2023",Tashkent,Mirabad district,2476.19
841,295000.0,150.0,4,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1966.67
842,75000.0,80.0,4,new,"June 24, 2023",Tashkent,Chilanzar district,937.5
843,100000.0,100.0,4,new,"June 24, 2023",Tashkent,Yakkasarai district,1000.0
844,140000.0,100.0,4,new,"June 24, 2023",Tashkent,Mirabad district,1400.0
845,100000.0,86.0,4,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1162.79
846,102000.0,90.0,4,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1133.33
847,123000.0,125.0,4,new,"June 24, 2023",Tashkent,Yakkasarai district,984.0
848,126000.0,100.0,4,new,"June 24, 2023",Tashkent,Mirabad district,1260.0
849,148000.0,100.0,4,new,"June 24, 2023",Tashkent,Yakkasarai district,1480.0
850,135000.0,188.0,4,new,"June 24, 2023",Tashkent,Yunusabad district,718.09
851,95000.0,76.0,4,new,"June 24, 2023",Tashkent,Chilanzar district,1250.0
852,80000.0,92.0,4,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,869.57
853,123000.0,68.0,4,new,"June 24, 2023",Tashkent,Chilanzar district,1808.82
854,67000.0,80.0,4,new,"June 24, 2023",Tashkent,Mirabad district,837.5
855,130000.0,92.0,4,new,"June 24, 2023",Tashkent,Yunusabad district,1413.04
856,108000.0,95.0,4,new,"June 24, 2023",Tashkent,Chilanzar district,1136.84
857,170000.0,84.0,4,new,"June 24, 2023",Tashkent,Mirabad district,2023.81
858,210000.0,140.0,4,new,"June 24, 2023",Tashkent,Mirabad district,1500.0
859,285000.0,75.0,4,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,3800.0
860,101000.0,90.0,4,new,"June 24, 2023",Tashkent,Yunusabad district,1122.22
862,188400.0,157.0,5,new,"June 22, 2023",Tashkent,Mirabad district,1200.0
863,73500.0,97.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,757.73
864,142000.0,140.0,5,new,"June 23, 2023",Tashkent,Almazar district,1014.29
865,87000.0,97.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,896.91
866,69000.0,98.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,704.08
867,105000.0,109.0,5,new,"June 25, 2023",Tashkent,Yakkasarai district,963.3
868,162000.0,120.0,5,new,"June 25, 2023",Tashkent,Chilanzar district,1350.0
869,130000.0,105.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1238.1
870,95000.0,97.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,979.38
871,136000.0,115.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1182.61
872,95000.0,105.0,5,new,"June 25, 2023",Tashkent,Almazar district,904.76
873,151000.0,138.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1094.2
874,105000.0,110.58,5,new,"June 25, 2023",Tashkent,Yunusabad district,949.54
875,110000.0,105.0,5,new,"June 25, 2023",Tashkent,Shaikhantahur district,1047.62
876,160000.0,200.0,5,new,"June 25, 2023",Tashkent,Almazar district,800.0
877,112000.0,108.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1037.04
878,90000.0,87.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1034.48
879,125000.0,110.0,5,new,"June 25, 2023",Tashkent,Chilanzar district,1136.36
880,140000.0,142.0,5,new,"June 25, 2023",Tashkent,Sergeli district,985.92
881,140000.0,110.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1272.73
882,145000.0,100.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1450.0
883,145000.0,100.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1450.0
884,175000.0,155.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1129.03
885,85000.0,100.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,850.0
886,140000.0,115.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1217.39
887,150000.0,135.0,5,new,"June 25, 2023",Tashkent,Shaikhantahur district,1111.11
888,120000.0,125.0,5,new,"June 25, 2023",Tashkent,Almazar district,960.0
889,120000.0,110.0,5,new,"June 25, 2023",Tashkent,Shaikhantahur district,1090.91
890,97000.0,110.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,881.82
891,93000.0,110.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,845.45
892,208000.0,130.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1600.0
893,110000.0,110.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1000.0
894,83000.0,120.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,691.67
895,115000.0,140.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,821.43
896,295000.0,130.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,2269.23
897,240000.0,160.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1500.0
898,100000.0,112.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,892.86
899,117000.0,110.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1063.64
900,85000.0,110.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,772.73
901,85000.0,95.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,894.74
902,135000.0,110.0,5,new,"June 25, 2023",Tashkent,Shaikhantahur district,1227.27
903,280000.0,200.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1400.0
904,113000.0,102.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1107.84
905,80000.0,125.0,5,new,"June 25, 2023",Tashkent,Sergeli district,640.0
906,130000.0,140.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,928.57
907,108000.0,135.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,800.0
908,68000.0,120.0,5,new,"June 25, 2023",Tashkent,Sergeli district,566.67
909,105000.0,100.0,5,new,"June 25, 2023",Tashkent,Chilanzar district,1050.0
910,92000.0,130.0,5,new,"June 25, 2023",Tashkent,Sergeli district,707.69
911,79500.0,108.0,5,new,"June 25, 2023",Tashkent,Sergeli district,736.11
912,88000.0,120.0,5,new,"June 25, 2023",Tashkent,Yashnabad district,733.33
913,136000.0,110.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1236.36
914,140000.0,150.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,933.33
915,125000.0,110.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1136.36
916,87500.0,110.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,795.45
917,72000.0,107.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,672.9
918,135000.0,110.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1227.27
919,125000.0,115.0,5,new,"June 25, 2023",Tashkent,Shaikhantahur district,1086.96
920,110000.0,150.0,5,new,"June 25, 2023",Tashkent,Chilanzar district,733.33
921,130000.0,110.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1181.82
922,130000.0,112.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1160.71
923,129000.0,130.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,992.31
924,98000.0,98.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1000.0
925,125000.0,113.0,5,new,"June 25, 2023",Tashkent,Yakkasarai district,1106.19
926,98000.0,110.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,890.91
927,98000.0,130.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,753.85
928,185000.0,190.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,973.68
929,130000.0,130.0,5,new,"June 25, 2023",Tashkent,Chilanzar district,1000.0
930,110000.0,110.0,5,new,"June 25, 2023",Tashkent,Almazar district,1000.0
931,210000.0,130.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1615.38
932,180000.0,165.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1090.91
933,280000.0,203.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1379.31
934,110000.0,100.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1100.0
935,91000.0,118.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,771.19
936,97000.0,120.0,5,new,"June 25, 2023",Tashkent,Yashnabad district,808.33
937,130000.0,113.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,1150.44
938,105000.0,110.0,5,new,"June 25, 2023",Tashkent,Yashnabad district,954.55
939,77500.0,92.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,842.39
940,130000.0,110.0,5,new,"June 25, 2023",Tashkent,Shaikhantahur district,1181.82
941,118000.0,130.0,5,new,"June 25, 2023",Tashkent,Sergeli district,907.69
942,80000.0,100.0,5,new,"June 25, 2023",Tashkent,Sergeli district,800.0
943,140000.0,97.0,5,new,"June 25, 2023",Tashkent,Almazar district,1443.3
944,230000.0,183.0,5,new,"June 25, 2023",Tashkent,Mirabad district,1256.83
945,106000.0,110.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,963.64
946,75000.0,112.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,669.64
947,94999.0,110.0,5,new,"June 25, 2023",Tashkent,Yunusabad district,863.63
948,110000.0,108.0,5,new,"June 25, 2023",Tashkent,Yakkasarai district,1018.52
949,75000.0,120.0,5,new,"June 25, 2023",Tashkent,Sergeli district,625.0
950,147000.0,130.0,5,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1130.77
951,105000.0,100.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1050.0
952,92000.0,110.0,5,new,"June 24, 2023",Tashkent,Yashnabad district,836.36
953,120000.0,115.0,5,new,"June 24, 2023",Tashkent,Yakkasarai district,1043.48
954,150000.0,140.0,5,new,"June 24, 2023",Tashkent,Almazar district,1071.43
955,152000.0,200.0,5,new,"June 24, 2023",Tashkent,Almazar district,760.0
956,103000.0,107.0,5,new,"June 24, 2023",Tashkent,Sergeli district,962.62
957,99000.0,125.0,5,new,"June 24, 2023",Tashkent,Sergeli district,792.0
958,149000.0,120.0,5,new,"June 24, 2023",Tashkent,Yakkasarai district,1241.67
959,89000.0,110.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,809.09
960,95000.0,90.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1055.56
961,202000.0,175.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1154.29
962,210000.0,150.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1400.0
963,120000.0,110.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1090.91
964,85000.0,115.0,5,new,"June 24, 2023",Tashkent,Chilanzar district,739.13
965,106000.0,100.0,5,new,"June 24, 2023",Tashkent,Almazar district,1060.0
966,190000.0,110.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1727.27
967,90000.0,97.0,5,new,"June 24, 2023",Tashkent,Almazar district,927.84
968,130000.0,130.0,5,new,"June 24, 2023",Tashkent,Sergeli district,1000.0
969,180000.0,120.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,1500.0
970,99000.0,112.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,883.93
971,125000.0,100.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,1250.0
972,225000.0,130.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1730.77
973,90000.0,110.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,818.18
974,191000.0,150.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1273.33
975,88000.0,125.0,5,new,"June 24, 2023",Tashkent,Yashnabad district,704.0
976,117000.0,100.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1170.0
977,105000.0,96.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,1093.75
978,230000.0,220.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,1045.45
979,93000.0,110.0,5,new,"June 24, 2023",Tashkent,Chilanzar district,845.45
980,105000.0,145.0,5,new,"June 24, 2023",Tashkent,Sergeli district,724.14
981,160000.0,130.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,1230.77
982,195000.0,130.0,5,new,"June 24, 2023",Tashkent,Chilanzar district,1500.0
983,91000.0,100.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,910.0
984,90000.0,120.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,750.0
985,125000.0,120.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1041.67
986,123000.0,96.94,5,new,"June 24, 2023",Tashkent,Almazar district,1268.83
987,125000.0,110.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1136.36
988,130000.0,153.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,849.67
989,115000.0,108.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1064.81
990,111000.0,135.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,822.22
991,258000.0,374.0,5,new,"June 24, 2023",Tashkent,Yakkasarai district,689.84
992,130000.0,113.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1150.44
993,145000.0,155.0,5,new,"June 24, 2023",Tashkent,Chilanzar district,935.48
994,74500.0,91.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,818.68
995,175000.0,150.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1166.67
996,115000.0,97.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,1185.57
997,100000.0,130.0,5,new,"June 24, 2023",Tashkent,Sergeli district,769.23
998,105000.0,115.0,5,new,"June 24, 2023",Tashkent,Chilanzar district,913.04
999,125000.0,103.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1213.59
1000,98000.0,120.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,816.67
1001,130000.0,118.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1101.69
1002,93000.0,108.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,861.11
1003,76000.0,108.0,5,new,"June 24, 2023",Tashkent,Sergeli district,703.7
1004,280000.0,220.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1272.73
1005,200000.0,200.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1000.0
1006,83000.0,100.0,5,new,"June 24, 2023",Tashkent,Shaikhantahur district,830.0
1007,135000.0,128.0,5,new,"June 24, 2023",Tashkent,Chilanzar district,1054.69
1008,124000.0,105.0,5,new,"June 24, 2023",Tashkent,Yakkasarai district,1180.95
1009,150000.0,110.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1363.64
1010,67000.0,130.0,5,new,"June 24, 2023",Tashkent,Sergeli district,515.38
1011,107000.0,112.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,955.36
1012,110000.0,140.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,785.71
1013,100000.0,110.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,909.09
1014,110000.0,90.0,5,new,"June 24, 2023",Tashkent,Almazar district,1222.22
1015,90500.0,112.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,808.04
1016,213000.0,150.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1420.0
1017,250000.0,150.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1666.67
1018,68000.0,125.0,5,new,"June 24, 2023",Tashkent,Sergeli district,544.0
1019,172000.0,143.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1202.8
1020,255000.0,175.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1457.14
1021,103000.0,110.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,936.36
1022,100000.0,97.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1030.93
1023,86000.0,115.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,747.83
1024,151000.0,148.0,5,new,"June 24, 2023",Tashkent,Yakkasarai district,1020.27
1025,114000.0,150.0,5,new,"June 24, 2023",Tashkent,Chilanzar district,760.0
1026,145000.0,120.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1208.33
1027,182000.0,111.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1639.64
1028,170000.0,181.0,5,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,939.23
1029,114000.0,110.0,5,new,"June 24, 2023",Tashkent,Sergeli district,1036.36
1030,220000.0,215.0,5,new,"June 24, 2023",Tashkent,Yunusabad district,1023.26
1031,330000.0,230.0,5,new,"June 24, 2023",Tashkent,Mirabad district,1434.78
1032,93000.0,110.0,5,new,"June 24, 2023",Tashkent,Yashnabad district,845.45
1033,98000.0,120.0,5,new,"June 24, 2023",Tashkent,Yashnabad district,816.67
1034,165000.0,160.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1031.25
1035,134800.0,110.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1225.45
1036,90000.0,96.0,5,new,"June 23, 2023",Tashkent,Almazar district,937.5
1037,109000.0,98.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1112.24
1038,125000.0,155.0,5,new,"June 23, 2023",Tashkent,Chilanzar district,806.45
1039,120000.0,112.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1071.43
1040,95500.0,90.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1061.11
1041,95000.0,112.12,5,new,"June 23, 2023",Tashkent,Yunusabad district,847.31
1042,92000.0,100.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,920.0
1043,140000.0,110.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1272.73
1044,87000.0,115.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,756.52
1045,205000.0,175.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1171.43
1046,117000.0,113.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,1035.4
1047,83000.0,100.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,830.0
1048,97000.0,120.0,5,new,"June 23, 2023",Tashkent,Shaikhantahur district,808.33
1049,118000.0,98.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1204.08
1050,107000.0,105.0,5,new,"June 23, 2023",Tashkent,Sergeli district,1019.05
1051,86500.0,120.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,720.83
1052,122000.0,100.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,1220.0
1053,250000.0,150.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,1666.67
1054,350000.0,221.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1583.71
1055,95000.0,110.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,863.64
1056,120000.0,109.0,5,new,"June 23, 2023",Tashkent,Shaikhantahur district,1100.92
1057,91000.0,112.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,812.5
1058,110000.0,97.0,5,new,"June 23, 2023",Tashkent,Almazar district,1134.02
1059,97000.0,108.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,898.15
1060,83500.0,135.0,5,new,"June 23, 2023",Tashkent,Sergeli district,618.52
1061,130000.0,150.0,5,new,"June 23, 2023",Tashkent,Sergeli district,866.67
1062,114000.0,112.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1017.86
1063,75000.0,96.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,781.25
1064,97000.0,112.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,866.07
1065,115000.0,87.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,1321.84
1066,240000.0,150.0,5,new,"June 23, 2023",Tashkent,Uchtepinsky district,1600.0
1067,115000.0,120.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,958.33
1068,79900.0,94.55,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,845.06
1069,162000.0,190.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,852.63
1070,90000.0,112.0,5,new,"June 23, 2023",Tashkent,Sergeli district,803.57
1071,300000.0,220.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1363.64
1072,88500.0,112.0,5,new,"June 23, 2023",Tashkent,Sergeli district,790.18
1073,75000.0,117.0,5,new,"June 23, 2023",Tashkent,Sergeli district,641.03
1074,120000.0,108.0,5,new,"June 23, 2023",Tashkent,Almazar district,1111.11
1075,115000.0,105.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,1095.24
1076,131000.0,110.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1190.91
1077,100000.0,111.93,5,new,"June 23, 2023",Tashkent,Yunusabad district,893.42
1078,150000.0,100.0,5,new,"June 23, 2023",Tashkent,Shaikhantahur district,1500.0
1079,180000.0,140.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1285.71
1080,110000.0,110.0,5,new,"June 23, 2023",Tashkent,Chilanzar district,1000.0
1081,217000.0,157.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1382.17
1082,145000.0,110.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1318.18
1083,215000.0,215.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,1000.0
1084,105000.0,120.0,5,new,"June 23, 2023",Tashkent,Sergeli district,875.0
1085,150000.0,127.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,1181.1
1086,85000.0,108.0,5,new,"June 23, 2023",Tashkent,Sergeli district,787.04
1087,135000.0,120.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1125.0
1088,144000.0,130.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1107.69
1089,144000.0,100.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1440.0
1090,136000.0,100.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1360.0
1091,145000.0,118.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1228.81
1092,250000.0,143.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,1748.25
1093,95000.0,110.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,863.64
1094,92000.0,108.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,851.85
1095,72000.0,120.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,600.0
1096,100000.0,120.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,833.33
1097,159000.0,100.0,5,new,"June 23, 2023",Tashkent,Shaikhantahur district,1590.0
1098,120000.0,120.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,1000.0
1099,115000.0,110.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1045.45
1100,97000.0,115.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,843.48
1101,220000.0,130.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,1692.31
1102,79000.0,98.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,806.12
1103,87500.0,120.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,729.17
1104,116000.0,113.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,1026.55
1105,88000.0,120.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,733.33
1106,125000.0,124.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,1008.06
1107,86500.0,100.0,5,new,"June 23, 2023",Tashkent,Sergeli district,865.0
1108,92000.0,110.0,5,new,"June 23, 2023",Tashkent,Shaikhantahur district,836.36
1109,145000.0,115.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1260.87
1110,88000.0,130.0,5,new,"June 23, 2023",Tashkent,Sergeli district,676.92
1111,75000.0,96.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,781.25
1112,82000.0,99.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,828.28
1113,124999.0,103.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,1213.58
1114,85000.0,120.0,5,new,"June 23, 2023",Tashkent,Sergeli district,708.33
1115,68000.0,130.0,5,new,"June 23, 2023",Tashkent,Sergeli district,523.08
1116,92000.0,134.0,5,new,"June 23, 2023",Tashkent,Sergeli district,686.57
1117,76500.0,110.0,5,new,"June 23, 2023",Tashkent,Yashnabad district,695.45
1118,92000.0,125.0,5,new,"June 23, 2023",Tashkent,Sergeli district,736.0
1119,115000.0,100.0,5,new,"June 23, 2023",Tashkent,Almazar district,1150.0
1120,96000.0,115.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,834.78
1121,121000.0,109.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,1110.09
1122,180000.0,206.0,5,new,"June 23, 2023",Tashkent,Chilanzar district,873.79
1123,155000.0,140.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,1107.14
1124,120000.0,130.0,5,new,"June 23, 2023",Tashkent,Mirabad district,923.08
1125,125000.0,95.0,5,new,"June 23, 2023",Tashkent,Mirabad district,1315.79
1126,110000.0,117.0,5,new,"June 23, 2023",Tashkent,Mirzo-Ulugbek district,940.17
1127,95000.0,111.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,855.86
1128,100000.0,98.0,5,new,"June 23, 2023",Tashkent,Yunusabad district,1020.41
1129,130000.0,131.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,992.37
1130,210000.0,220.0,5,new,"June 23, 2023",Tashkent,Yakkasarai district,954.55
1131,104000.0,120.0,5,new,"June 22, 2023",Tashkent,Sergeli district,866.67
1132,69000.0,96.0,5,new,"June 22, 2023",Tashkent,Shaikhantahur district,718.75
1133,122000.0,120.0,5,new,"June 22, 2023",Tashkent,Yakkasarai district,1016.67
1134,106000.0,112.0,5,new,"June 22, 2023",Tashkent,Yashnabad district,946.43
1135,124000.0,114.0,5,new,"June 22, 2023",Tashkent,Yakkasarai district,1087.72
1136,150000.0,100.0,5,new,"June 22, 2023",Tashkent,Mirzo-Ulugbek district,1500.0
1137,90000.0,112.0,5,new,"June 22, 2023",Tashkent,Yunusabad district,803.57
1138,85000.0,96.0,5,new,"June 22, 2023",Tashkent,Almazar district,885.42
1139,120000.0,110.0,5,new,"June 22, 2023",Tashkent,Uchtepinsky district,1090.91
1140,108000.0,110.0,5,new,"June 22, 2023",Tashkent,Yashnabad district,981.82
1141,83500.0,110.0,5,new,"June 22, 2023",Tashkent,Sergeli district,759.09
1142,123600.0,110.0,5,new,"June 22, 2023",Tashkent,Mirzo-Ulugbek district,1123.64
1143,119900.0,108.0,5,new,"June 22, 2023",Tashkent,Almazar district,1110.19
1144,95000.0,108.0,5,new,"June 22, 2023",Tashkent,Yunusabad district,879.63
1145,145000.0,94.0,5,new,"June 22, 2023",Tashkent,Mirzo-Ulugbek district,1542.55
1146,109000.0,135.0,5,new,"June 22, 2023",Tashkent,Yunusabad district,807.41
1147,185000.0,130.0,5,new,"June 22, 2023",Tashkent,Yakkasarai district,1423.08
1148,165000.0,144.0,5,new,"June 22, 2023",Tashkent,Mirzo-Ulugbek district,1145.83
1150,95000.0,100.0,5,new,"June 22, 2023",Tashkent,Sergeli district,950.0
